system,dp,Temp,MSD_1ps,MSD_2ps,MSD_3ps,MSD_4ps,MSD_5ps,MSD_6ps,MSD_7ps,MSD_8ps,MSD_9ps,MSD_10ps
PDMS,10,100,0.28120501060227826,0.31107458926725046,0.3244152603705578,0.33639411586115253,0.347594324210488,0.35592681223743405,0.36689022657092807,0.3810868955765062,0.3888180634324125,0.40893991886249453
PDMS,10,105,0.2956753733946828,0.3309939714410317,0.34468964038018285,0.3520098889484272,0.36544376117901806,0.3798830985725402,0.3928986661111741,0.4153680763419828,0.42466299647305317,0.43250618180931877
PDMS,10,110,0.3117002934433356,0.35299258459251764,0.37235307956101865,0.382297797555501,0.40738537999073177,0.4209295279084861,0.4317221014329988,0.4475573059196617,0.46099995362420276,0.47299106446795003
PDMS,10,115,0.3296332449137844,0.37433821857760424,0.3910972954086692,0.40411381156351656,0.4279308988780322,0.4465810737600524,0.4661924956961254,0.4785086563484208,0.49788251889640334,0.5067393734395642
PDMS,10,120,0.34983243578061035,0.40845790327878506,0.4261641587169126,0.43740240405203157,0.45888305375375626,0.47883858255941536,0.49573366314856865,0.5165799643307196,0.5335986367609517,0.5432134020386126
PDMS,10,125,0.3763870069494265,0.4384744605311873,0.4778229190605199,0.49285273877587094,0.5032792602895552,0.5209462825583207,0.5366661794110568,0.5689534138722404,0.5865539454944004,0.5945076474339729
PDMS,10,130,0.38363631085373917,0.45198167297185465,0.4852443509680574,0.5029033226538994,0.5268881956057963,0.5479708267454254,0.5568110692501083,0.5889776041236785,0.5939124045567213,0.6063779912391757
PDMS,10,135,0.4186261479450145,0.4870579251633392,0.5178614506049459,0.556370634712821,0.5773424572784718,0.5963056367538881,0.6145493611786282,0.6387669439257939,0.670128867728345,0.6837624547920217
PDMS,10,140,0.43695206514865054,0.5146670527586584,0.5517916443779438,0.5801002332070953,0.5956281406986823,0.6258266437426584,0.6580699120170437,0.6820146594138583,0.7035307683040632,0.7133843420947192
PDMS,10,145,0.46272175008816874,0.5520556040057103,0.58798244950568,0.6190528050495236,0.6491342164389815,0.6759661790312325,0.7126061653724023,0.7291676301894441,0.7487762982744248,0.7634270213091622
PDMS,10,150,0.47549154270889166,0.555940288387427,0.609928862159212,0.6542801130465781,0.6895795074824684,0.7009288540384426,0.7225728700338199,0.7439288805472036,0.7752113133864397,0.8110026629202414
PDMS,10,155,0.5102883771205858,0.6123789583870981,0.664217113890769,0.691827423780042,0.7229657714995683,0.748671208318745,0.7715622832310355,0.8180765134933811,0.8459274130734447,0.862411197076533
PDMS,10,160,0.538966106579345,0.6402841894859834,0.6866152798324321,0.7183477926290329,0.7571904051110854,0.7809549274881423,0.8201539906635809,0.8492541401584524,0.8728049700565418,0.8939293069330507
