system,dp,sample_idx,rg
PDMS,10,0,6.239529609680176
PDMS,10,1,6.055825233459473
PDMS,10,2,7.143937587738037
PDMS,10,3,7.44345760345459
PDMS,10,4,7.719677925109863
PDMS,10,5,6.239843368530273
PDMS,10,6,6.628114223480225
PDMS,10,7,7.671038627624512
PDMS,10,8,7.931159496307373
PDMS,10,9,7.3426642417907715
PDMS,10,10,7.299077987670898
PDMS,10,11,6.020140647888184
PDMS,10,12,7.253327369689941
PDMS,10,13,7.148076057434082
PDMS,10,14,7.4808878898620605
PDMS,10,15,5.499309062957764
PDMS,10,16,6.768012046813965
PDMS,10,17,5.869895935058594
PDMS,10,18,6.577329158782959
PDMS,10,19,6.247751712799072
PDMS,10,20,6.307895660400391
PDMS,10,21,7.306215286254883
PDMS,10,22,6.386019229888916
PDMS,10,23,7.082483291625977
PDMS,10,24,5.657919406890869
PDMS,10,25,7.1068620681762695
PDMS,10,26,7.1806640625
PDMS,10,27,7.620120525360107
PDMS,10,28,4.7634406089782715
PDMS,10,29,7.553084850311279
PDMS,10,30,6.811281204223633
PDMS,10,31,6.540543079376221
PDMS,10,32,7.99105167388916
PDMS,10,33,6.382352828979492
PDMS,10,34,7.4561357498168945
PDMS,10,35,5.779336929321289
PDMS,10,36,6.3594231605529785
PDMS,10,37,6.863010406494141
PDMS,10,38,7.107158660888672
PDMS,10,39,7.388642311096191
PDMS,10,40,7.063998222351074
PDMS,10,41,7.348621368408203
PDMS,10,42,7.411706447601318
PDMS,10,43,7.205931663513184
PDMS,10,44,6.047136306762695
PDMS,10,45,7.580326557159424
PDMS,10,46,7.5575690269470215
PDMS,10,47,6.977512359619141
PDMS,10,48,7.951359748840332
PDMS,10,49,7.648674011230469
PDMS,10,50,7.47270393371582
PDMS,10,51,7.628534317016602
PDMS,10,52,7.254915714263916
PDMS,10,53,6.416074275970459
PDMS,10,54,7.941728591918945
PDMS,10,55,7.386122226715088
PDMS,10,56,6.635601043701172
PDMS,10,57,7.476865768432617
PDMS,10,58,5.9022369384765625
PDMS,10,59,7.4184770584106445
PDMS,10,60,5.728474140167236
